Model,Accuracy,Precision Churn=NO,Precision Churn=YES
RandomTreeForest,0.8926553672316384,0.9087568891610532,0.875724404378622
Boosting,0.8709981167608286,0.893447642375995,0.8473921442369607
SVC,0.8700564971751412,0.904470300061237,0.8338699291693497
KNeighbors,0.849654739485248,0.8585425597060624,0.8403090792015454
