Model,Accuracy,Precision Churn=NO,Precision Churn=YES
RandomTreeForest,0.8898305084745762,0.9081445192896509,0.8705730843528654
Boosting,0.8703703703703703,0.8879363135333742,0.8518995492594977
SVC,0.8688010043942247,0.898958971218616,0.8370895041854475
KNeighbors,0.8493408662900188,0.8542559706062461,0.8441725692208628
LinearSCV,0.8179535467671061,0.8573178199632578,0.7765614938828075
LogisticRegression,0.8173258003766478,0.8567054500918555,0.7759175788795879
SGDC,0.8047708725674827,0.8322106552357624,0.7759175788795879
